age,workclass,fnlwgt,education,education-num,maritial-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
773.7855888504056,Self-emp-not-inc,99185.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
-538.2282235508761,Private,163083.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,735395.0378316127,0.0,990.5416396519514,United-States,>50K
105.94192632855179,Private,9159469.547786154,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
31.0,Private,208881.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,21653.10307571147,-890.4897017337548,United-States,<=50K
817.5794453753579,Private,271446.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,25.0,United-States,<=50K
-556.9733994430704,Private,167005.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,-6990.929012395049,632.6247470281872,United-States,>50K
33.0,Private,36539.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,-748987.3444291214,-4250.571978087195,40.0,United-States,>50K
-118.76443202623352,Private,5475202.705914386,HS-grad,143.97344500104242,Divorced,Transport-moving,Not-in-family,White,Male,-532042.0110136515,0.0,-783.7039987546773,United-States,<=50K
60.0,Private,24872.0,Some-college,-145.5231354040268,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,0.0,0.0,30.0,United-States,<=50K
364.5629798653363,Private,9331704.498211425,HS-grad,55.37687187130832,Married-civ-spouse,Craft-repair,Husband,White,Male,766198.1988466241,0.0,616.1520348658494,United-States,<=50K
716.1201478219981,Private,49715.0,HS-grad,9.0,Divorced,Transport-moving,Unmarried,White,Male,588573.7009887449,-16555.895480942825,-471.89250919416,United-States,<=50K
51.0,Private,255412.0,Bachelors,45.008477513283566,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,France,>50K
-96.34475520745968,Private,2427681.6449865755,HS-grad,125.8644599919938,Never-married,Adm-clerical,Own-child,White,Female,0.0,11559.684730060866,45.0,United-States,<=50K
743.0230109140031,Private,179488.0,Some-college,24.18046722382048,Divorced,Craft-repair,Not-in-family,White,Male,0.0,-26407.211026148623,40.0,United-States,<=50K
47.0,Private,418961.0,Assoc-voc,11.0,Divorced,Sales,Unmarried,Black,Female,0.0,0.0,345.9732402507134,United-States,<=50K
35.0,Self-emp-not-inc,278557.0,HS-grad,-121.06144827190873,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,-23151.300808400567,30.0,United-States,<=50K
42.0,Private,-5304687.187574255,Some-college,120.67000132542275,Never-married,Other-service,Not-in-family,White,Male,0.0,-9422.476280113897,40.0,United-States,<=50K
55.0,Local-gov,48055.0,12th,8.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,-26819.184273261868,525.2273600095969,United-States,<=50K
57.0,Private,169071.0,HS-grad,9.0,Divorced,Sales,Unmarried,White,Female,0.0,0.0,-123.42046355557227,United-States,<=50K
26.0,Private,6422495.79992348,10th,67.61656804949514,Never-married,Craft-repair,Not-in-family,White,Male,967306.8892184361,0.0,55.0,Puerto-Rico,<=50K
27.0,Private,-6638290.919884079,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,-11520.00247046915,50.0,United-States,<=50K
63.0,Private,106910.0,5th-6th,-112.24693603338059,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,0.0,-15307.978194095655,19.0,Philippines,<=50K
-290.71505446487555,Private,-1472300.2143187504,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,35.0,United-States,<=50K
669.8180632870157,Private,-5062697.907336405,Bachelors,109.7858113367125,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,-799.0167060624312,United-States,<=50K
57.0,Private,226875.0,7th-8th,4.0,Married-civ-spouse,Sales,Husband,White,Male,-327059.85569953336,0.0,50.0,United-States,<=50K
31.0,Private,181091.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,-294927.4089655973,0.0,40.0,United-States,>50K
43.0,Self-emp-not-inc,316820.0,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,84.0,United-States,<=50K
25.0,Self-emp-not-inc,-8209767.86091157,Assoc-voc,-7.324210833206763,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
49.0,Private,218357.0,Assoc-voc,11.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,38.0,United-States,<=50K
39.0,Private,176634.0,Assoc-acdm,159.40458130450176,Never-married,Tech-support,Not-in-family,White,Female,-965359.4669591025,0.0,432.56004294541367,United-States,<=50K
21.0,Self-emp-not-inc,-9131713.517742513,Some-college,10.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,998.0135577324564,United-States,<=50K
65.0,State-gov,326691.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,187733.87457392557,0.0,612.8757926379229,United-States,>50K
-642.8868780252819,Private,168854.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,1848.0,50.0,United-States,>50K
59.0,Private,291529.0,10th,6.0,Widowed,Machine-op-inspct,Not-in-family,White,Male,-31483.707410725765,0.0,-148.46688248813393,United-States,<=50K
35.0,Private,403037.0,HS-grad,9.0,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
41.0,Private,-983363.6131491512,9th,5.0,Divorced,Other-service,Other-relative,White,Female,0.0,20825.399974926975,357.29069436985526,United-States,<=50K
