age,workclass,fnlwgt,education,education-num,maritial-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42.0,Self-emp-not-inc,99185.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
-2.454245320203995,Private,163083.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,926.4031772355825,United-States,>50K
49.0,Private,340755.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,-454825.4300294621,0.0,40.0,United-States,>50K
31.0,Private,208881.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,28616.56750255143,40.0,United-States,<=50K
277.78014094555095,Private,271446.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,521751.732405982,0.0,25.0,United-States,<=50K
420.22811094234476,Private,-701884.2078258693,HS-grad,24.316359330184714,Married-civ-spouse,Adm-clerical,Husband,White,Male,846902.9907397144,0.0,289.4343125154478,United-States,>50K
-411.7513747245279,Private,36539.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,-15325.068278917226,40.0,United-States,>50K
48.0,Private,240629.0,HS-grad,9.0,Divorced,Transport-moving,Not-in-family,White,Male,1074448.165939224,-12752.17243050414,65.0,United-States,<=50K
60.0,Private,24872.0,Some-college,10.0,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,0.0,0.0,30.0,United-States,<=50K
298.17117284266357,Private,173968.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,-20568.700313263547,-623.0660404347367,United-States,<=50K
53.0,Private,49715.0,HS-grad,9.0,Divorced,Transport-moving,Unmarried,White,Male,775386.5263159055,13467.765743889835,40.0,United-States,<=50K
51.0,Private,255412.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,3889.774369019855,50.0,France,>50K
21.0,Private,192572.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,45.0,United-States,<=50K
38.0,Private,179488.0,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,1741.0,40.0,United-States,<=50K
-77.19417323597986,Private,-1665045.722544307,Assoc-voc,11.0,Divorced,Sales,Unmarried,Black,Female,0.0,0.0,25.0,United-States,<=50K
35.0,Self-emp-not-inc,1002830.629979649,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
42.0,Private,328239.0,Some-college,57.63369801882199,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
55.0,Local-gov,-8476377.595610421,12th,8.0,Widowed,Adm-clerical,Not-in-family,White,Female,1056740.0709448433,0.0,40.0,United-States,<=50K
57.0,Private,169071.0,HS-grad,9.0,Divorced,Sales,Unmarried,White,Female,0.0,0.0,28.0,United-States,<=50K
-474.8591953906142,Private,222637.0,10th,156.16794481030806,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,55.0,Puerto-Rico,<=50K
500.35797949364604,Private,213421.0,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
63.0,Private,106910.0,5th-6th,3.0,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,0.0,0.0,19.0,Philippines,<=50K
-422.3234940048404,Private,122775.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,-278.0939279320446,35.0,United-States,<=50K
25.0,Private,197871.0,Bachelors,-79.41160694911842,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
-452.5460112371068,Private,226875.0,7th-8th,4.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
31.0,Private,181091.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
43.0,Self-emp-not-inc,316820.0,Some-college,-141.83867879603264,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,-21043.243249625186,84.0,United-States,<=50K
25.0,Self-emp-not-inc,159909.0,Assoc-voc,139.27067914981276,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
49.0,Private,218357.0,Assoc-voc,-24.730046591228017,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,38.0,United-States,<=50K
39.0,Private,176634.0,Assoc-acdm,12.0,Never-married,Tech-support,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
21.0,Self-emp-not-inc,25631.0,Some-college,84.54983920790495,Never-married,Farming-fishing,Own-child,White,Male,0.0,-10306.495720106977,40.0,United-States,<=50K
65.0,State-gov,-7538308.006969813,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40.0,United-States,>50K
32.0,Private,168854.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,1848.0,50.0,United-States,>50K
59.0,Private,5897346.00069435,10th,6.0,Widowed,Machine-op-inspct,Not-in-family,White,Male,0.0,23339.301893738637,52.0,United-States,<=50K
35.0,Private,403037.0,HS-grad,9.0,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
41.0,Private,200652.0,9th,5.0,Divorced,Other-service,Other-relative,White,Female,0.0,0.0,204.44715915628356,United-States,<=50K
43.0,Private,55395.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,771.6358739427383,United-States,<=50K
329.1274897638099,Private,210082.0,HS-grad,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
-399.19199216733,Local-gov,-3914852.6126590027,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
17.0,Private,268276.0,12th,8.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,12.0,United-States,<=50K
35.0,Private,-3144674.30366508,Bachelors,87.92496307989742,Separated,Exec-managerial,Unmarried,White,Female,0.0,0.0,42.0,United-States,<=50K
31.0,Private,398988.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
48.0,Private,115585.0,Bachelors,-75.09373043280337,Married-civ-spouse,Sales,Husband,White,Male,0.0,27516.165732505007,940.4805355436768,United-States,<=50K
31.0,Private,330715.0,HS-grad,9.0,Separated,Other-service,Not-in-family,White,Male,1028714.9708713569,9111.44504154041,40.0,United-States,<=50K
43.0,Federal-gov,222756.0,Masters,14.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
38.0,Private,-2685351.534925376,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
56.0,Federal-gov,9386101.749564024,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,-11913.122844161066,40.0,Puerto-Rico,>50K
23.0,Private,-1522358.813294039,Assoc-voc,-106.57608947122895,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
716.1953377396372,Local-gov,159028.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,725795.2725850301,0.0,40.0,United-States,<=50K
33.0,Federal-gov,207172.0,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,7112.37311596936,40.0,United-States,<=50K
201.90392925000464,Federal-gov,3545150.2734567327,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,547.5764169669367,United-States,<=50K
53.0,Federal-gov,90127.0,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
39.0,Local-gov,357173.0,Assoc-acdm,12.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,9543.078271636412,59.0,United-States,<=50K
52.0,Self-emp-not-inc,240013.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,70.0,United-States,<=50K
18.0,Private,111256.0,HS-grad,72.9415911511032,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,376.9360298221449,United-States,<=50K
29.0,Private,91547.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
32.0,Private,227931.0,Bachelors,24.786973836187244,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,132.15534917356538,United-States,<=50K
24.0,Private,2576087.3148127394,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,-413577.3085225198,23037.405125317957,40.0,United-States,<=50K
31.0,Local-gov,178449.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,1003.3567219465957,United-States,>50K
790.2194988320491,Private,135845.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
45.0,Local-gov,364563.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,-600522.2937953402,0.0,40.0,United-States,>50K
35.0,Private,225750.0,Bachelors,13.0,Divorced,Prof-specialty,Unmarried,White,Female,-558501.6968650017,0.0,915.7351240208039,United-States,<=50K
44.0,Private,185798.0,Assoc-voc,11.0,Separated,Craft-repair,Other-relative,White,Male,0.0,-7424.338434775851,48.0,United-States,>50K
31.0,Private,9588566.185747825,Assoc-acdm,12.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,35.0,Poland,<=50K
-514.2394974983895,Self-emp-not-inc,1001730.7335063107,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
48.0,Local-gov,144122.0,Masters,124.68125511547308,Divorced,Prof-specialty,Not-in-family,White,Female,393927.3496392585,0.0,40.0,United-States,>50K
66.0,Private,269665.0,HS-grad,9.0,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,458.23862465445876,United-States,<=50K
24.0,Private,308205.0,Some-college,10.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
51.0,Private,215854.0,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
