age,workclass,fnlwgt,education,education-num,maritial-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
2.322865753471433,Self-emp-not-inc,-8154845.255419277,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,1032.2869232327266,United-States,>50K
55.0,Private,163083.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,-14583.081945453307,-618.2457874089532,United-States,>50K
511.5571416085307,Private,340755.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,-22.760993072122233,United-States,>50K
-462.2546339986757,Private,208881.0,Some-college,89.16188121353287,Married-civ-spouse,Craft-repair,Husband,White,Male,-928849.7592362235,0.0,40.0,United-States,<=50K
19.0,Private,-7744674.243957052,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,-265183.57977507066,0.0,25.0,United-States,<=50K
-96.4114213478839,Private,7139009.116083792,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,8277.968367293477,48.0,United-States,>50K
33.0,Private,36539.0,Bachelors,-50.062036780220694,Married-civ-spouse,Exec-managerial,Wife,White,Female,434403.84686132683,0.0,40.0,United-States,>50K
48.0,Private,3985867.157663301,HS-grad,9.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,517.2744730376471,United-States,<=50K
-243.4815512896193,Private,9619724.826029886,Some-college,10.0,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,0.0,9392.470478183586,-283.3558715283664,United-States,<=50K
38.0,Private,173968.0,HS-grad,-7.758236766532292,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
53.0,Private,49715.0,HS-grad,9.0,Divorced,Transport-moving,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
51.0,Private,255412.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,-539.6960294213411,France,>50K
21.0,Private,3650730.763429355,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,45.0,United-States,<=50K
586.79587907579,Private,179488.0,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,-13935.845351679767,40.0,United-States,<=50K
47.0,Private,418961.0,Assoc-voc,11.0,Divorced,Sales,Unmarried,Black,Female,0.0,-7285.960782501814,25.0,United-States,<=50K
35.0,Self-emp-not-inc,278557.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,944.459480974552,United-States,<=50K
42.0,Private,2282076.2418443747,Some-college,157.2476472508808,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
55.0,Local-gov,48055.0,12th,8.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,-4820.7317761895065,40.0,United-States,<=50K
57.0,Private,169071.0,HS-grad,9.0,Divorced,Sales,Unmarried,White,Female,518495.42232455435,0.0,28.0,United-States,<=50K
-98.54145369886135,Private,1741671.7918671025,10th,6.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,-5905.794534963661,992.3211336972923,Puerto-Rico,<=50K
27.0,Private,213421.0,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,-15288.031688913854,953.3336086202037,United-States,<=50K
63.0,Private,106910.0,5th-6th,3.0,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,0.0,0.0,19.0,Philippines,<=50K
18.0,Private,122775.0,HS-grad,-111.50422335292237,Never-married,Other-service,Own-child,White,Male,602523.0711824247,-26746.36522907756,35.0,United-States,<=50K
25.0,Private,-9051109.430384992,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,815.4897562384423,United-States,<=50K
57.0,Private,5309996.388359795,7th-8th,4.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
-633.8403913206156,Private,181091.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
43.0,Self-emp-not-inc,316820.0,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,84.0,United-States,<=50K
25.0,Self-emp-not-inc,159909.0,Assoc-voc,-65.70955179016882,Married-civ-spouse,Farming-fishing,Husband,White,Male,-108072.58909487783,0.0,40.0,United-States,<=50K
